id,target
32159,835.47076
32064,859.0261
32065,859.0261
32066,859.0261
32067,799.371
32068,799.9498
32069,799.9498
32070,799.9498
32071,737.3242
32072,747.8617
32073,747.8617
32074,747.8617
32075,730.872
32076,736.8745
32077,736.8745
32078,736.8745
32079,730.872
32080,736.8745
32081,736.8745
32082,736.8745
32083,730.872
32084,736.8745
32085,736.8745
32086,736.8745
32087,730.872
32088,736.8745
32089,736.8745
32090,736.8745
32091,737.3242
32092,747.64026
32093,747.64026
32094,753.60504
32095,2338.611
32096,3241.889
32097,3942.966
32098,4077.7935
32099,3788.1858
32100,5627.984
32101,5624.6987
32102,5628.759
32103,5629.8794
32104,5795.9233
32105,5795.9883
32106,5795.3574
32107,5756.4365
32108,5769.381
32109,5769.947
32110,5769.8965
32111,5981.931
32112,2260.8884
32113,2638.944
32114,2636.1865
32115,5916.829
32116,5723.22
32117,5481.146
32118,5483.3696
32119,5576.242
32120,5481.213
32121,5482.261
32122,5482.261
32123,5543.019
32124,5542.723
32125,5542.8013
32126,5542.8013
32127,5541.97
32128,5541.6743
32129,5541.6743
32130,5541.6743
32131,2573.18
32132,2454.5083
32133,2453.3845
32134,2448.4998
32135,1641.3383
32136,1479.1681
32137,1468.6237
32138,1787.2589
32139,1987.2686
32140,1966.8068
32141,1966.3541
32142,1973.8767
32143,1693.4497
32144,1957.1157
32145,1956.6631
32146,1956.6631
32147,1961.8508
32148,1990.4469
32149,1990.4469
32150,1990.0995
32151,2144.087
32152,1307.5333
32153,1121.4323
32154,1120.9514
32155,1009.2234
32156,846.72107
32157,846.72107
32158,846.72107
32255,743.7579
32160,770.0764
32161,770.0764
32162,770.0764
32163,716.4694
32164,717.1353
32165,717.1353
32166,717.1353
32167,697.8573
32168,697.1155
32169,697.1155
32170,715.3564
32171,697.8573
32172,697.1155
32173,697.1155
32174,715.3564
32175,697.8573
32176,697.1155
32177,697.1155
32178,715.3564
32179,697.8573
32180,697.1155
32181,697.1155
32182,715.3564
32183,697.8573
32184,697.1155
32185,697.1155
32186,715.3564
32187,712.6854
32188,715.43677
32189,715.43677
32190,718.5774
32191,2182.9824
32192,2741.2542
32193,3292.1125
32194,3325.2832
32195,3135.4705
32196,2791.4453
32197,2880.3323
32198,2861.724
32199,1877.4569
32200,1878.0503
32201,1879.0284
32202,1881.5636
32203,1885.5321
32204,1522.8599
32205,1418.58
32206,1418.581
32207,1548.3104
32208,1572.7185
32209,1800.0668
32210,1778.3461
32211,1799.2572
32212,1800.3302
32213,1800.3302
32214,1800.5734
32215,1800.7903
32216,1801.8633
32217,1802.8275
32218,1802.8275
32219,1800.2097
32220,1801.2827
32221,1801.4257
32222,1801.4257
32223,1824.0
32224,1826.0905
32225,1826.0905
32226,1825.8148
32227,1825.0188
32228,1825.4984
32229,1825.4984
32230,1824.7333
32231,1345.9167
32232,1074.825
32233,1074.825
32234,1346.3964
32235,1800.0841
32236,1800.5637
32237,1800.5637
32238,1800.5637
32239,1800.3711
32240,1800.8507
32241,1800.8507
32242,1800.8507
32243,1911.0625
32244,1895.2101
32245,1895.2101
32246,1888.8042
32247,1811.1061
32248,1151.3881
32249,771.37494
32250,771.37494
32251,746.1072
32252,778.5764
32253,771.16766
32254,771.16766
32351,828.8764
32256,834.43896
32257,834.43896
32258,834.43896
32259,769.53894
32260,769.53894
32261,769.53894
32262,769.53894
32263,695.28375
32264,714.238
32265,714.238
32266,714.238
32267,695.28375
32268,714.238
32269,714.238
32270,714.238
32271,695.28375
32272,714.238
32273,714.238
32274,714.238
32275,695.28375
32276,714.238
32277,714.238
32278,714.238
32279,695.28375
32280,714.238
32281,714.238
32282,714.238
32283,711.8579
32284,712.6364
32285,712.6364
32286,717.1119
32287,1310.5359
32288,4790.9883
32289,9096.621
32290,9081.52
32291,9090.916
32292,8863.493
32293,8748.992
32294,8744.783
32295,8676.358
32296,8861.514
32297,8859.254
32298,8858.174
32299,7822.0684
32300,8020.798
32301,8109.1675
32302,8104.9824
32303,8545.084
32304,2039.1981
32305,2261.72
32306,2258.3198
32307,6885.107
32308,7073.67
32309,7870.8716
32310,7870.7593
32311,8587.345
32312,8428.115
32313,8425.023
32314,8421.572
32315,8581.366
32316,8423.336
32317,8423.869
32318,8419.166
32319,8582.123
32320,8422.283
32321,8423.328
32322,8418.625
32323,7094.4966
32324,7147.435
32325,7142.979
32326,6377.5
32327,6157.7827
32328,6236.4097
32329,6384.163
32330,6218.7197
32331,6540.461
32332,6580.5376
32333,6675.7144
32334,6543.1973
32335,6545.7505
32336,6675.5205
32337,6681.5317
32338,6459.825
32339,4074.0251
32340,2316.5803
32341,2247.1785
32342,2149.7925
32343,2596.549
32344,1719.498
32345,1583.0505
32346,1503.71
32347,1525.1233
32348,1015.4113
32349,854.26196
32350,854.26196
32447,1107.4053
32352,1077.9421
32353,1077.9421
32354,1077.9421
32355,918.899
32356,906.30884
32357,906.30884
32358,906.30884
32359,737.88965
32360,748.55774
32361,748.55774
32362,755.3827
32363,737.88965
32364,748.3363
32365,748.3363
32366,748.3363
32367,737.88965
32368,748.3363
32369,748.3363
32370,748.3363
32371,737.88965
32372,748.3363
32373,748.3363
32374,748.3363
32375,737.88965
32376,748.3363
32377,748.3363
32378,748.3363
32379,746.45886
32380,755.3827
32381,755.3827
32382,754.13617
32383,1178.6907
32384,5509.654
32385,10671.991
32386,10642.397
32387,9481.944
32388,8750.979
32389,8746.245
32390,8743.762
32391,8664.075
32392,8745.62
32393,8745.841
32394,8746.639
32395,7820.342
32396,8111.4844
32397,8200.6045
32398,8197.88
32399,8683.918
32400,2127.8816
32401,2321.5337
32402,2296.255
32403,6856.148
32404,7119.684
32405,7795.1387
32406,7793.541
32407,8617.753
32408,8426.08
32409,8424.271
32410,8420.82
32411,8608.464
32412,8421.301
32413,8423.117
32414,8418.414
32415,8607.006
32416,8420.248
32417,8422.576
32418,8417.873
32419,7097.827
32420,7146.416
32421,7145.693
32422,6385.4985
32423,6195.9795
32424,6338.0806
32425,6470.088
32426,6219.1147
32427,6535.534
32428,6600.6313
32429,6687.9565
32430,6541.205
32431,6539.2783
32432,6678.159
32433,6718.3394
32434,6459.8306
32435,4151.052
32436,2316.4917
32437,2151.1582
32438,2149.0017
32439,2724.0854
32440,2164.7244
32441,1808.7882
32442,1794.9459
32443,1780.0093
32444,1529.5891
32445,1324.2832
32446,1324.2832
32543,992.6762
32448,994.3976
32449,994.3976
32450,994.3976
32451,897.22406
32452,897.9046
32453,897.9046
32454,897.9046
32455,737.9938
32456,753.1058
32457,753.1058
32458,751.4238
32459,737.45764
32460,749.1116
32461,749.1116
32462,749.1116
32463,737.45764
32464,749.1116
32465,749.1116
32466,749.1116
32467,737.45764
32468,749.1116
32469,749.1116
32470,749.1116
32471,737.45764
32472,749.1116
32473,749.1116
32474,749.1116
32475,748.354
32476,755.6218
32477,755.6218
32478,755.0344
32479,1209.406
32480,5830.4253
32481,11086.958
32482,11023.478
32483,9503.499
32484,8755.023
32485,8750.29
32486,8746.963
32487,8666.512
32488,8751.482
32489,8750.788
32490,8748.945
32491,7822.311
32492,8112.4053
32493,8200.817
32494,8198.093
32495,8530.849
32496,2036.0872
32497,2315.871
32498,2312.471
32499,6853.01
32500,7123.1943
32501,7796.262
32502,7795.75
32503,8617.85
32504,8427.75
32505,8396.744
32506,8394.915
32507,8608.561
32508,8422.971
32509,8394.3545
32510,8390.276
32511,8607.103
32512,8421.918
32513,8393.813
32514,8389.735
32515,7149.2227
32516,7146.485
32517,7145.7617
32518,6379.134
32519,6198.1846
32520,6337.1084
32521,6469.718
32522,6237.2905
32523,6535.921
32524,6673.663
32525,6686.367
32526,6538.8086
32527,6539.665
32528,6679.236
32529,6725.211
32530,6537.2383
32531,3583.4827
32532,2247.2114
32533,2147.3967
32534,2152.8252
32535,2237.1409
32536,1309.7424
32537,1065.6166
32538,1065.6166
32539,993.67816
32540,1086.4944
32541,963.3621
32542,963.3621
32639,892.84393
32544,904.6796
32545,904.6796
32546,904.6796
32547,833.24725
32548,833.9278
32549,833.9278
32550,833.9278
32551,737.54297
32552,749.1969
32553,749.1969
32554,749.1969
32555,737.54297
32556,748.66077
32557,748.66077
32558,748.66077
32559,737.54297
32560,748.66077
32561,748.66077
32562,748.66077
32563,737.54297
32564,748.66077
32565,748.66077
32566,748.66077
32567,737.54297
32568,748.66077
32569,748.66077
32570,748.66077
32571,748.43933
32572,755.70715
32573,755.70715
32574,754.4041
32575,1211.0385
32576,5830.918
32577,11078.89
32578,11104.503
32579,9505.453
32580,8754.015
32581,8749.147
32582,8748.749
32583,8667.006
32584,8749.72
32585,8749.025
32586,8748.8
32587,7823.353
32588,8111.73
32589,8141.162
32590,8139.736
32591,8386.56
32592,2033.2562
32593,2262.6714
32594,2259.2712
32595,6848.3916
32596,7136.984
32597,7797.0703
32598,7796.558
32599,8617.052
32600,8427.903
32601,8399.277
32602,8398.92
32603,8608.904
32604,8424.266
32605,8396.572
32606,8393.966
32607,8607.446
32608,8423.213
32609,8396.031
32610,8393.425
32611,7098.4673
32612,7147.495
32613,7146.772
32614,6379.1377
32615,6199.6616
32616,6338.5854
32617,6471.195
32618,6238.7676
32619,6536.994
32620,6674.7363
32621,6687.4404
32622,6541.3535
32623,6540.7383
32624,6680.309
32625,6726.284
32626,6539.783
32627,3621.3792
32628,2020.6682
32629,1791.4216
32630,1772.924
32631,2054.5154
32632,1167.4403
32633,960.7115
32634,961.68085
32635,907.7488
32636,1060.076
32637,897.4055
32638,897.4055
32735,873.8993
32640,892.24817
32641,889.7946
32642,889.7946
32643,807.4373
32644,807.4373
32645,807.4373
32646,807.4373
32647,730.5816
32648,737.4871
32649,737.4871
32650,737.4871
32651,728.56805
32652,737.4871
32653,737.4871
32654,737.4871
32655,728.56805
32656,737.4871
32657,737.4871
32658,737.4871
32659,728.56805
32660,737.4871
32661,737.4871
32662,737.4871
32663,728.56805
32664,737.4871
32665,737.4871
32666,737.4871
32667,737.9368
32668,748.3835
32669,748.3835
32670,754.34827
32671,1179.1359
32672,5389.4004
32673,10393.562
32674,10388.962
32675,9180.895
32676,8754.516
32677,8751.526
32678,8752.332
32679,8678.322
32680,8752.756
32681,8752.963
32682,8756.147
32683,7678.465
32684,8112.5674
32685,8107.6484
32686,8104.765
32687,8340.119
32688,1950.5579
32689,2246.6675
32690,2243.2673
32691,6839.6646
32692,7074.5117
32693,7758.3647
32694,7756.0693
32695,8588.1
32696,8325.783
32697,8328.522
32698,8328.165
32699,8580.46
32700,8323.286
32701,8325.288
32702,8324.89
32703,8581.217
32704,8326.055
32705,8328.568
32706,8328.17
32707,6973.891
32708,7049.5586
32709,7048.752
32710,6393.1504
32711,6162.511
32712,6241.1196
32713,6386.9385
32714,6223.7466
32715,6503.8403
32716,6584.0327
32717,6677.5513
32718,6548.638
32719,6506.3257
32720,6677.314
32721,6683.325
32722,6464.45
32723,3587.6133
32724,1830.2483
32725,1795.1957
32726,1775.4735
32727,2143.603
32728,1306.1896
